vendor,url
proquest,search.proquest.com
gale,go.gale.com
morningstar,library.morningstar.com
newsbank,public.maximus.newsbank.com
jstor,www.jstor.org
muse,muse.jhu.edu
newsbank,infoweb.newsbank.com
proquest,media.proquest.com
learningexpress,www.learningexpresshub.com
ebsco,web.a.ebscohost.com
ebsco,web.b.ebscohost.com
oed,www.oed.com
ezproxy,i.ezproxy.nypl.org
pressreader,www.pressreader.com
oxford,www.oxfordreference.com
chicagomanualofstyle,www.chicagomanualofstyle.org
oclc,firstsearch.oclc.org
gale,bi.gale.com
credoreference,search.credoreference.com
gale,find.gale.com
oxford,www.oxfordscholarship.com
google,www.google.com
cambridge,www.cambridge.org
worldbookonline,www.worldbookonline.com
universitypressscholarship,www.universitypressscholarship.com
ebsco,search.ebscohost.com
fulcrum,www.fulcrum.org
scholarlyiq,ouptag.scholarlyiq.com
veryshortintroductions,www.veryshortintroductions.com
eastview,dlib.eastview.com
morningstar,im.morningstar.com
proquest,feeds.proquest.com
oxford,www.oxfordhandbooks.com
chadwyck,eebo.chadwyck.com
proquest,pq-static-content.proquest.com
readspeaker,f1-na.readspeaker.com
oup,gab.cookie.oup.com
brill,brill.com
oxford,www.oxfordmusiconline.com
gale,natgeo.gale.com
oxford,www.oxforddnb.com
abc-clio,africanamerican.abc-clio.com
sage,sk.sagepub.com
bloomsburyfashioncentral,www.bloomsburyfashioncentral.com
oxford,www.oxfordartonline.com
serialssolutions,ulrichsweb.serialssolutions.com
upi,sanborn.umi.com
serialssolutions,wu9fb9wh4a.search.serialssolutions.com
booksinprint,www.booksinprint.com
abc-clio,dailylife.abc-clio.com
newyorker,archives.newyorker.com
scholastic,sdm-sfx.digital.scholastic.com
google,fonts.googleapis.com
abc-clio,ancienthistory.abc-clio.com
universitypressscholarship,chicago.universitypressscholarship.com
oxford,www.oxfordscholarlyeditions.com
google,translate.google.com
abc-clio,americanindian.abc-clio.com
morningstar,portfolio.morningstar.com
abc-clio,worldhistory.abc-clio.com
jstor,status-app.jstor.org
digitalpublishing,www.digitaliapublishing.com
tandfonline,www.tandfonline.com
gale,galeapps.gale.com
oxford,www.oxfordbibliographies.com
proquest,newspaperslibrary.proquest.com
oxford,premium.oxforddictionaries.com
google,maps.googleapis.com
google,scholar.google.com
proquest,ancestrylibrary.proquest.com
ebsco,sdc-evs.ebscohost.com
cairn,www.cairn.info
abc-clio,americanhistory.abc-clio.com
ebsco,pdc-evs.ebscohost.com
proquest,www.proquest.com
jstor,ja.jstor.org
careercruising,cdn.careercruising.com
universitypressscholarship,yale.universitypressscholarship.com
universitypressscholarship,california.universitypressscholarship.com
universitypressscholarship,northcarolina.universitypressscholarship.com
sage,journals.sagepub.com
ebsco,connect.ebsco.com
gale,infotrac.galegroup.com
scholastic,digital.scholastic.com
serialssolutions,www.serialssolutions.com
degruyter,www.degruyter.com
abc-clio,worldatwar.abc-clio.com
proquest,congressional.proquest.com
proquest,hv.proquest.com
digitaltheatreplus,www.digitaltheatreplus.com
newsbank,images.newsbank.com
scholastic,limelight.digital.scholastic.com
careercruising,www2.careercruising.com
artstor,mdxdv.artstor.org
amazonaws,sequoia-forum-media.s3.amazonaws.com
ancestrylibrary,mediasvc.ancestrylibrary.com
ebsco,sdc-rpsimages.ebscohost.com
gale,galesupport.com
mangolanguages,connect.mangolanguages.com
ebsco,eon-api.ebscohost.com
brill,referenceworks.brillonline.com
abc-clio,cassingle.abc-clio.com
ancestrylibrary,www.ancestrylibrary.com
google,books.google.com
universitypressscholarship,fordham.universitypressscholarship.com
abc-clio,latinoamerican.abc-clio.com
google,www.google-analytics.com
universitypressscholarship,minnesota.universitypressscholarship.com
cambridge,assets.cambridge.org
universitypressscholarship,edinburgh.universitypressscholarship.com
universitypressscholarship,liverpool.universitypressscholarship.com
universitypressscholarship,mitpress.universitypressscholarship.com
abc-clio,popculture.abc-clio.com
scholastic,sdm-tfx.digital.scholastic.com
universitypressscholarship,columbia.universitypressscholarship.com
abc-clio,issues.abc-clio.com
heinonline,heinonline.org
universitypressscholarship,mississippi.universitypressscholarship.com
universitypressscholarship,princeton.universitypressscholarship.com
serialssolutions,assets.serialssolutions.com
universitypressscholarship,manchester.universitypressscholarship.com
amamanualofstyle,www.amamanualofstyle.com
ebsco,support.ebsco.com
humanitiesebook,www.humanitiesebook.org
morningstar,quotespeed.morningstar.com
anb,www.anb.org
serialssolutions,xv6gw7wr7b.search.serialssolutions.com
emis,www.emis.com
oxford,oxfordre.com
abc-clio,moderngenocide.abc-clio.com
worldbookonline,media.worldbookonline.com
abc-clio,americangovernment.abc-clio.com
proquest,support.proquest.com
morningstar,www.morningstar.com
wsj,wsjstream.wsj.net
ebsco,pdc-rpsimages.ebscohost.com
valueline,research.valueline.com
flipster,flipstercontent.s3.amazonaws.com
stanford.universitypress,stanford.universitypressscholarship.com
gale,link.gale.com
universitypressscholarship,florida.universitypressscholarship.com
google,adservice.google.com
google,ajax.googleapis.com
paratext,history.paratext.com
proquest,statabs.proquest.com
chadwyck,collections.chadwyck.com
plunkettresearchonline,www.plunkettresearch.com
ancestrylibrary,search.ancestrylibrary.com
accessible,www.accessible.com
abc-clio,worldgeography.abc-clio.com
proquest,sanbornmaps.proquest.com
worldcat,static1.worldcat.org
abc-clio,religion.abc-clio.com
umich,umich.edu
oclc,illpolicies.oclc.org
universitypressscholarship,kentucky.universitypressscholarship.com
ebsco,www.ebsco.com
oup,fdslive.oup.com
muse,about.muse.jhu.edu
universitypressscholarship,nyu.universitypressscholarship.com
universitypressscholarship,m.britishacademy.universitypressscholarship.com
oclc,coverart.oclc.org
virginia,pfe.rotunda.upress.virginia.edu
torrossa,access.torrossa.com
gale,go.galegroup.com
oclc,www.oclc.org
artstor,library.artstor.org
readspeaker,rstts-na.readspeaker.com
plunkettresearchonline,plunkettresearchonline.com
cqpress,library.cqpress.com
brepolsonline,www.brepolsonline.net
universitypressscholarship,illinois.universitypressscholarship.com
chadwyck,bsc.chadwyck.com
universitypressscholarship,policypress.universitypressscholarship.com
nybooks,cdn.nybooks.com
universitypressscholarship,cornell.universitypressscholarship.com
oed,public.oed.com
morningstar,tools.morningstar.com
abc-clio,databases.abc-clio.com
amazonaws,twitter-badges.s3.amazonaws.com
alexanderstreet,cdn.alexanderstreet.com
readspeaker,app-na.readspeaker.com
oed,oed.com
universitypressscholarship,hongkong.universitypressscholarship.com
scholastic,bookflix.digital.scholastic.com
scholastic,scienceflix.digital.scholastic.com
artifexpress,www.artifexpress.com
universitypressscholarship,britishacademy.universitypressscholarship.com
morningstar,cef.morningstar.com
proquest,statistical.proquest.com
proquest,sso.proquest.com
simplyanalytics,app.simplyanalytics.com
japantimes,ipm-archives.japantimes.co.jp
handle,hdl.handle.net
europaworld,www.europaworld.com
worldwhoswho,www.worldwhoswho.com
chicagomanualofstyle,login.chicagomanualofstyle.org
gale,support.gale.com
sciencedirect,www.sciencedirect.com
oup,global.oup.com
eric,eric.ed.gov
cambridge,static.cambridge.org
newsbank,ihw02.newsbank.com
learningexpress,www.learningexpresslibrary3.com
proquest,gateway.proquest.com
newsbank,ihw11.newsbank.com
virginia,rotunda.upress.virginia.edu
chronicle,www.chronicle.com
newsbank,ihw04.newsbank.com
newsbank,ihw03.newsbank.com
valueline,www.valueline.com
morningstar,doc.morningstar.com
pnas,www.pnas.org
umich,quod.lib.umich.edu
newsbank,ihw08.newsbank.com
newsbank,ihw09.newsbank.com
morningstar,portfolios.morningstar.com
gale,www.gale.com
ebsco,extsvc.ebscohost.com
muse,about-dev.muse.jhu.edu
arkyves,www.arkyves.org
proquest,redirect.proquest.com
wsj,vir.wsj.net
imf,data.imf.org
universitypressscholarship,cairo.universitypressscholarship.com
